OrderedID,ZLocation,Z,ZGeocode_na,Zlat,Zlon,UR2022_V1,UR2022_V_1,UR2022_V_2,IUR2022_V1,IUR2022_1,LAND_AREA,AREA_SQ_KM,Shape_Leng,Xcoordinate,Ycoordinate
143,Seddon,0.40,Seddon,-41.6711969,174.0733696,2043,Seddon,Seddon,21,Rural settlement,1.66178243,1.66178243,5880.40212334209,174.070742059,-41.666786822
144,Westport,0.30,Westport,-41.754183,171.6035684,2051,Westport,Westport,14,Small urban area,11.53102639,11.53102639,27168.1758952934,171.616802067,-41.7473009509999
145,St Arnaud,0.36,St Arnaud,-41.8023717,172.8450406,2022,St Arnaud,St Arnaud,21,Rural settlement,6.28870817,6.28870817,15755.3079577826,172.867932172,-41.799738092
146,Murchison,0.34,Murchison,-41.7995251,172.3286812,2015,Murchison,Murchison,21,Rural settlement,4.3362175,4.3362175,9611.93908040953,172.33469809,-41.802121632
147,Ward,0.40,Ward,-41.8264213,174.1379945,2045,Ward,Ward,21,Rural settlement,3.56309936,3.56309936,12399.8278240082,174.124969632,-41.831134909
148,Reefton,0.37,Reefton,-42.1159384,171.8634561,2056,Reefton,Reefton,14,Small urban area,2.62641709,2.62641709,9893.30477276806,171.859448743,-42.1122354029999
149,Springs Junction,0.45,Springs Junction,-42.3347563,172.1817907,,Springs Junction,Springs Junction,,Urban,0,0,0,172.181812519,-42.334475245
150,,,,,,2057,Rūnanga,Runanga,14,Small urban area,4.5051542,4.5051542,17127.6444583271,171.250041719,-42.393014616
151,Kaikoura,0.42,Kaikoura,-42.4005999,173.6811428,2047,Kaikōura,Kaikoura,14,Small urban area,9.28286801,9.28286801,32165.8776001091,173.676561235,-42.4127378539999
152,Greymouth,0.37,Greymouth,-42.4499469,171.2079875,2058,Greymouth,Greymouth,14,Small urban area,27.83278323,27.83278323,49491.8587582231,171.185249506,-42.4902450819999
153,Hanmer Springs,0.55,Hanmer Springs,-42.5217947,172.8302995,2078,Hanmer Springs,Hanmer Springs,21,Rural settlement,4.00583129,4.00583129,11082.767254047,172.823611629,-42.522926797
154,Hokitika,0.45,Hokitika,-42.7178871,170.9646469,2068,Hokitika,Hokitika,14,Small urban area,3.60069647,3.60069647,8368.50546519059,170.970881396,-42.719000493
155,Cheviot,0.40,Cheviot,-42.8116534,173.2735027,2089,Cheviot,Cheviot,21,Rural settlement,1.05472596,1.05472596,6812.67520108723,173.274344925,-42.811879914
156,Otira,0.60,Otira,-42.8293483,171.5613766,,Otira,Otira,,Urban,0,0,0,171.562438303,-42.829630574
157,Arthurs Pass,0.60,Arthurs Pass,-42.9409528,171.5628387,2119,Arthurs Pass,Arthurs Pass,21,Rural settlement,0.27251039,0.27251039,4905.94101392618,171.563688958,-42.9439098569999
158,Harihari,0.46,Harihari,-43.1479196,170.5581948,2076,Harihari,Harihari,21,Rural settlement,50.43150137,50.43150137,36573.0191265094,170.570107497,-43.1436166509999
159,,,,,,2086,Amberley,Amberley,14,Small urban area,3.62319426,3.62319426,11329.562246089,172.731237627,-43.155067828
160,,,,,,2091,Oxford,Oxford,14,Small urban area,11.81747088,11.81747088,19093.2277871667,172.187088525,-43.294929638
161,Rangiora,0.33,Rangiora,-43.303171,172.5961483,2096,Rangiora,Rangiora,13,Medium urban area,15.25162001,15.25162001,25675.1801110051,172.59298175,-43.305763613
162,,,,,,2100,Pegasus,Pegasus,14,Small urban area,6.33679729,6.33679729,11458.875658779,172.696512502,-43.3113642709999
163,,,,,,2099,Woodend,Woodend,14,Small urban area,3.48672389,3.48672389,9105.26894081249,172.66587715,-43.3217609009999
164,Franz Josef,0.44,Franz Josef,-43.3889668,170.1819048,2075,Franz Josef,Franz Josef,21,Rural settlement,5.31004883,5.31004883,12842.1263131528,170.18836548,-43.375755162
165,,,,,,2102,Kaiapoi,Kaiapoi,13,Medium urban area,14.35163041,14.35163041,20502.5429852894,172.656877699,-43.383648415
166,Fox Glacier,0.44,Fox Glacier,-43.4644665,170.0177191,2073,Fox Glacier,Fox Glacier,21,Rural settlement,1.91658094,1.91658094,6845.69293024896,170.011634695,-43.462629176
167,Darfield,0.30,Darfield,-43.4882301,172.1087152,2128,Darfield,Darfield,14,Small urban area,15.14334165,15.14334165,20447.8359763563,172.094482893,-43.4958385749999
168,,,,,,2130,West Melton,West Melton,14,Small urban area,5.31923548,5.31923548,14287.5537330636,172.365187399,-43.5256956979999
169,Christchurch,0.30,Christchurch,-43.530955,172.6366455,2106,Christchurch,Christchurch,11,Major urban area,294.73222806,294.73222806,143756.22981776,172.6366455,-43.530955
170,,,,,,2135,Prebbleton,Prebbleton,14,Small urban area,5.09778177,5.09778177,11680.0958466063,172.507832799,-43.5786519399999
171,,,,,,2108,Lyttelton,Lyttelton,14,Small urban area,4.45490505,4.45490505,23002.9827110709,172.70854292,-43.6032521559999
172,,,,,,2134,Rolleston,Rolleston,13,Medium urban area,22.07562359,22.07562359,23402.3950450835,172.388905102,-43.6042612749999
173,,,,,,2146,Methven,Methven,14,Small urban area,4.16480223,4.16480223,11890.3438990547,171.642656467,-43.633048765
174,,,,,,2109,Diamond Harbour,Diamond Harbour,14,Small urban area,4.06522169,4.06522169,15081.6626133797,172.725216224,-43.635307095
175,,,,,,2139,Lincoln,Lincoln,14,Small urban area,9.05756634,9.05756634,15311.83545438,172.486597146,-43.6407439019999
176,Mt Cook Village,0.38,Mt Cook,-43.6038,170.214,2164,Mt Cook Village,Mt Cook Village,21,Rural settlement,9.68129124,9.68129124,16595.7949026619,170.091166748,-43.723740286
177,,,,,,2149,Rākaia,Rakaia,14,Small urban area,11.30140457,11.30140457,15304.1777330945,172.00903178,-43.7470061029999
178,,,,,,2137,Leeston,Leeston,14,Small urban area,2.43667042,2.43667042,10922.68088121,172.296619748,-43.760235773
179,Akaroa,0.30,Akaroa,-43.82493765,173.0209638,2118,Akaroa,Akaroa,21,Rural settlement,2.02993521,2.02993521,11499.9008266265,172.968539737,-43.807130178
180,Ashburton,0.20,Ashburton,-43.9024396,171.7503327,2148,Ashburton,Ashburton,13,Medium urban area,37.9341141,37.9341141,43083.501196319,171.770847975,-43.891969746
181,Geraldine,0.19,Geraldine,-44.0921039,171.2425898,2153,Geraldine,Geraldine,14,Small urban area,3.12428911,3.12428911,12553.3970834146,171.243489078,-44.0940252519999
